chamber_pressure_pa,mixture_ratio,chamber_temperature_k,cstar_m_per_s,cf_vac,isp_vac_s
150000,1.5,3235.852,1586.720,1.581600,255.904
150000,1.8,3395.852,1666.720,1.585200,269.418
150000,2.0,3475.852,1706.720,1.587600,276.301
150000,2.2,3535.852,1736.720,1.590000,281.583
150000,2.5,3575.852,1756.720,1.586400,284.181
500000,1.5,3257.523,1595.148,1.589443,258.539
500000,1.8,3417.523,1675.148,1.593043,272.120
500000,2.0,3497.523,1715.148,1.595443,279.037
500000,2.2,3557.523,1745.148,1.597843,284.345
500000,2.5,3597.523,1765.148,1.594243,286.956
1500000,1.5,3277.298,1602.838,1.596600,260.955
1500000,1.8,3437.298,1682.838,1.600200,274.597
1500000,2.0,3517.298,1722.838,1.602600,281.546
1500000,2.2,3577.298,1752.838,1.605000,286.877
1500000,2.5,3617.298,1772.838,1.601400,289.500
3000000,1.5,3289.775,1607.690,1.601115,262.485
3000000,1.8,3449.775,1687.690,1.604715,276.166
3000000,2.0,3529.775,1727.690,1.607115,283.134
3000000,2.2,3589.775,1757.690,1.609515,288.481
3000000,2.5,3629.775,1777.690,1.605915,291.111
5000000,1.5,3298.970,1611.266,1.604443,263.615
5000000,1.8,3458.970,1691.266,1.608043,277.325
5000000,2.0,3538.970,1731.266,1.610443,284.308
5000000,2.2,3598.970,1761.266,1.612843,289.665
5000000,2.5,3638.970,1781.266,1.609243,292.301
