# chamber_pressure_pa,mixture_ratio,chamber_temperature_k,cstar_m_per_s,cf_vac,isp_vac_s
400000,4.0,2850,1480,1.640,247.47
400000,5.0,2940,1510,1.650,254.14
400000,6.0,2890,1495,1.645,250.82
400000,7.0,2800,1465,1.630,243.51
1000000,4.0,2920,1510,1.680,258.66
1000000,5.0,3020,1545,1.690,266.22
1000000,6.0,2970,1530,1.685,262.89
1000000,7.0,2880,1495,1.670,254.62
2000000,4.0,2980,1530,1.700,265.27
2000000,5.0,3090,1570,1.710,273.75
2000000,6.0,3040,1550,1.705,269.55
2000000,7.0,2950,1515,1.690,261.13
3000000,4.0,3020,1540,1.710,268.60
3000000,5.0,3130,1585,1.720,278.06
3000000,6.0,3080,1565,1.715,273.72
3000000,7.0,2990,1530,1.700,265.27
4000000,4.0,3050,1550,1.715,271.10
4000000,5.0,3160,1595,1.725,280.56
4000000,6.0,3110,1575,1.720,276.27
4000000,7.0,3020,1540,1.705,267.82
